"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
26163580200,"Wyandotte, MI",49467
1055011002,"Boaz, AL",49377
39123051200,"Port Clinton, OH",49348
6037270100,"Palms, Los Angeles, CA",49266
22071012300,"Broadmoor, New Orleans, LA",49069
41059950400,"Pendleton, OR",48969
34011020400,"Bridgeton, NJ",48914
48339694400,"Montgomery, TX",48715
42079216700,"Freeland, PA",48692
5007021002,"Gentry, AR",48641
27031480100,"Grand Marais, MN",48608
6063000202,"Quincy, CA",48507
17031803611,"Palatine, IL",48504
27075370400,"Two Harbors, MN",48323
12111381804,"Port St. Lucie, FL",47958
36061022500,"Harlem, New York, NY",47779
48453000801,"East Austin, Austin, TX",47731
6065042728,"Romoland, Menifee, CA",47525
4025000203,"Chino Valley, AZ",47462
12103024512,"Clearwater, FL",47295
13195020200,"Danielsville, GA",47169
13135050526,"Lawrenceville, GA",46813
48177000400,"Gonzales, TX",46703
53001950100,"Ritzville, WA",46661
22033004205,"Baker, LA",46614
26099211000,"Richmond, MI",46126
42079200300,"Wilkes-Barre, PA",46109
6071004510,"San Bernardino, CA",46097
48503950200,"Olney, TX",46074
45007012001,"Anderson, SC",46066
37067002904,"Germanton, NC",45913
1097006104,"Chunchula, AL",45760
56045951300,"Newcastle, WY",45511
1073011500,"Dora, AL",45456
29201781100,"Scott City, MO",45391
6037195903,"Silver Lake, Los Angeles, CA",45279
41041950304,"Lincoln City, OR",45245
36055011208,"Webster, NY",45215
48309002498,"Brookview, Waco, TX",45202
40109106906,"Central Oklahoma City, Oklahoma City, OK",45196
42071012301,"Ephrata, PA",44983
9001043700,"Norwalk, CT",44940
12071050400,"Bonita Springs, FL",44927
37081010800,"Downtown, Greensboro, NC",44645
48473680200,"Pattison, TX",44477
17183010500,"Danville, IL",44354
21143960100,"Kuttawa, KY",44253
37021001200,"Bear Creek, Asheville, NC",44247
48151950300,"Roby, TX",44183
21187970100,"Owenton, KY",44175
23017966700,"Fryeburg, ME",44145
12071010412,"Pelican, Cape Coral, FL",44083
22017024106,"Jenkins Subdiv., Pinecroft Subdiv., Shreveport, LA",43936
47019070900,"Johnson City, TN",43805
51840000302,"Winchester, VA",43775
37051002800,"Cape Fear, Stedman, NC",43754
19033950102,"Mason City, IA",43638
26003000200,"Au Train, MI",43637
13121006400,"Chosewood Park, Atlanta, GA",43479
37133002500,"Hubert, NC",43470
47037018904,"Nashville, TN",43331
17069971000,"Elizabethtown, IL",43314
29007950200,"Rush Hill, MO",43258
45015020724,"Goose Creek, SC",42852
13089023313,"Lithonia, GA",42759
37003040100,"Hiddenite, NC",42638
48355001801,"Central City, Corpus Christi, TX",42619
39095004503,"Beverly, Toledo, OH",42588
36005022703,"Bronx County, NY",42569
17117956400,"Carlinville, IL",42563
6095251200,"Vallejo, CA",42261
42003468900,"Carnegie, PA",42152
26099255300,"Roseville, MI",42068
29510103600,"Clifton Heights, St. Louis, MO",41825
17161023500,"Longview, Rock Island, IL",41816
41047010701,"Stayton, OR",41777
28109950401,"Carriere, MS",41658
8001008309,"Norfolk Glen, Aurora, CO",41656
28139950400,"Blue Mountain, MS",41528
48029180604,"Inner West Side, San Antonio, TX",41400
39133600902,"Ravenna, OH",41395
39035101102,"Edgewater, Cleveland, OH",41308
26025003100,"Homer, MI",41177
51109950201,"Louisa, VA",41108
12103024410,"Saint Petersburg, FL",40915
17077010200,"Elkville, IL",40908
27061480100,"Bigfork, MN",40826
35001003201,"Sandia Plaza, Albuquerque, NM",40736
6001436602,"Jackson Triangle, Hayward, CA",40587
22025000300,"Jonesville, LA",40531
41019030000,"Drain, OR",40440
26137950100,"Vanderbilt, MI",40258
26007000300,"Alpena, MI",40256
19193000600,"Sioux City, IA",40153
26165380200,"Mesick, MI",40089
55139001500,"Oshkosh, WI",40002
16005001603,"Pocatello, ID",39932
48007950100,"Rockport, TX",39927
8059010406,"Arvada, CO",39882
31005958300,"Arthur, NE",39872
12086000707,"Hialeah, FL",39813
39049009386,"Eastshire, Reynoldsburg, OH",39758
55013970700,"Webster, WI",39749
1007010002,"West Blocton, AL",39694
12009069902,"Indianola Estates, Merritt Island, FL",39412
29189214800,"Saint Ann, MO",39374
45077010804,"Easley, SC",39355
47037013300,"Urbandale Nations, Nashville, TN",39245
51730811200,"Petersburg, VA",39071
46055960100,"Philip, SD",39061
6067008139,"Citrus Heights, CA",38980
13071970100,"Norman Park, GA",38863
47183968500,"Gleason, TN",38840
6037239320,"South Los Angeles, Los Angeles, CA",38812
8085966202,"Olathe, CO",38785
1089001302,"Huntsville, AL",38779
48303010402,"Lubbock, TX",38700
12086017100,"Miami, FL",38652
5057480200,"Fulton, AR",38421
47163043202,"Bristol, TN",38345
35017964800,"Silver City, NM",38335
12086009015,"Miami, FL",38308
23003952700,"Crystal, ME",38267
20091053502,"Havencroft, Olathe, KS",38169
12119910500,"Bushnell, FL",38081
40117957300,"Jennings, OK",37973
40141070100,"Frederick, OK",37904
42069102100,"Scranton, PA",37677
54033032000,"Bridgeport, WV",37669
36005041800,"Bronx County, NY",37518
5035030600,"Proctor, AR",37432
42079201200,"Wilkes-Barre, PA",37342
48113009802,"Northwest Dallas, Dallas, TX",37274
55025000408,"Madison, WI",37154
48439105006,"High Crest Addition, Fort Worth, TX",37033
31055004300,"Southeast Omaha, Omaha, NE",36900
12057000401,"Tampa, FL",36894
39093023500,"Lorain, OH",36694
19163012501,"Davenport, IA",36690
21043960200,"Olive Hill, KY",36416
12127080804,"Ormond Beach, FL",36411
39153502600,"Goodyear Heights, Akron, OH",36286
